Month,Month,volume,balance_avg,days,weeks,month,velocity_cnv,duration_avg_min,duration_avg_max,velocity_inv_min,velocity_inv_max,balance_eff_min,balance_eff_max,balance_frc_min,balance_frc_max,volume: Nairobi,balance_avg: Nairobi,velocity_cnv: Nairobi,duration_avg_min: Nairobi,velocity_inv_min: Nairobi,balance_eff_min: Nairobi,volume>8wk_min: Nairobi,volume>4wk_min: Nairobi,volume>1wk_min: Nairobi,volume>1dy_min: Nairobi,duration_avg_max: Nairobi,velocity_inv_max: Nairobi,balance_eff_max: Nairobi,volume>8wk_max: Nairobi,volume>4wk_max: Nairobi,volume>1wk_max: Nairobi,volume>1dy_max: Nairobi,volume: Kilifi,balance_avg: Kilifi,velocity_cnv: Kilifi,duration_avg_min: Kilifi,velocity_inv_min: Kilifi,balance_eff_min: Kilifi,volume>8wk_min: Kilifi,volume>4wk_min: Kilifi,volume>1wk_min: Kilifi,volume>1dy_min: Kilifi,duration_avg_max: Kilifi,velocity_inv_max: Kilifi,balance_eff_max: Kilifi,volume>8wk_max: Kilifi,volume>4wk_max: Kilifi,volume>1wk_max: Kilifi,volume>1dy_max: Kilifi,volume: Mombasa,balance_avg: Mombasa,velocity_cnv: Mombasa,duration_avg_min: Mombasa,velocity_inv_min: Mombasa,balance_eff_min: Mombasa,volume>8wk_min: Mombasa,volume>4wk_min: Mombasa,volume>1wk_min: Mombasa,volume>1dy_min: Mombasa,duration_avg_max: Mombasa,velocity_inv_max: Mombasa,balance_eff_max: Mombasa,volume>8wk_max: Mombasa,volume>4wk_max: Mombasa,volume>1wk_max: Mombasa,volume>1dy_max: Mombasa,volume: Kinango Kwale,balance_avg: Kinango Kwale,velocity_cnv: Kinango Kwale,duration_avg_min: Kinango Kwale,velocity_inv_min: Kinango Kwale,balance_eff_min: Kinango Kwale,volume>8wk_min: Kinango Kwale,volume>4wk_min: Kinango Kwale,volume>1wk_min: Kinango Kwale,volume>1dy_min: Kinango Kwale,duration_avg_max: Kinango Kwale,velocity_inv_max: Kinango Kwale,balance_eff_max: Kinango Kwale,volume>8wk_max: Kinango Kwale,volume>4wk_max: Kinango Kwale,volume>1wk_max: Kinango Kwale,volume>1dy_max: Kinango Kwale,volume: Other Rural,balance_avg: Other Rural,velocity_cnv: Other Rural,duration_avg_min: Other Rural,velocity_inv_min: Other Rural,balance_eff_min: Other Rural,volume>8wk_min: Other Rural,volume>4wk_min: Other Rural,volume>1wk_min: Other Rural,volume>1dy_min: Other Rural,duration_avg_max: Other Rural,velocity_inv_max: Other Rural,balance_eff_max: Other Rural,volume>8wk_max: Other Rural,volume>4wk_max: Other Rural,volume>1wk_max: Other Rural,volume>1dy_max: Other Rural
Sep 20,Sep 20,28670575.75,16524208.751063207,30,4.285714285714286,2020-09-16,0.4048484928455588,0.9241079488696261,0.9241769797755651,1.0821246600283068,1.0820438313047447,6182098.288156874,6182560.09118103,0.3741237103264689,0.374151657384698,24874994.0,7000788.192418002,3.5531704882801813,0.4958526133696929,2.016728304010026,2878010.5159062673,193512.654295,808351.572187,2770679.224603,8340815.594426,0.49590498869897226,2.016515305932982,2878314.510973301,193552.377273,808391.295165,2770718.947581,8340855.317404,15182.0,206586.02828759915,0.07348996505641876,1.657771038646212,0.6032196103610493,5872.598645369584,1024.344405,1086.714926,1288.198778,2821.27852,1.6579380957783798,0.6031588287562168,5873.190439691717,1024.428202,1086.798723,1288.282575,2821.362317,4800.0,229329.52244592152,0.02093058036665076,5.630971302829499,0.17758925524935837,6306.68785916904,1387.670666,1608.898895,1766.269979,2529.502852,5.630971302829499,0.17758925524935837,6306.68785916904,1387.670666,1608.898895,1766.269979,2529.502852,3623569.75,8744119.92656868,0.41440073791645055,3.828320367890387,0.2612111589164243,3236843.3716258453,773908.71992,1267897.370027,1858464.603388,2826836.953687,3.8284900856725352,0.26119957937003097,3236986.8679441786,773929.342896,1267917.993003,1858485.226364,2826857.576663,152030.0,343385.08134301,0.44273909456228255,1.5526136952897158,0.6440752152539794,55076.90068880894,6393.72258,15094.372779,57618.323066,89095.631758,1.5527159567530586,0.6440327966301942,55080.52827787242,6394.214737,15094.864936,57618.815223,89096.123915
Oct 20,Oct 20,36358622.553,15822241.907343226,31,4.428571428571429,2020-10-16,0.5188905334847318,1.5829594127998923,1.5830211144748219,0.631728136497972,0.6317035135262595,12996115.05312802,12996621.624591488,0.821382654192414,0.8214146706074349,22236023.414,6764135.958166658,3.287341288158676,0.579752789383587,1.7248731154243073,2910960.522369573,300631.15803500003,701293.480763,2525004.670464,9130194.295351,0.5797982055445978,1.7247380044246798,2911188.5586191625,300658.49230600003,701320.815034,2525032.004735,9130221.629622,20800.0,167314.84845785005,0.12431652176549014,7.928164710535467,0.1261325964470862,37236.799414644,8135.839718,9741.423615,14554.821536,19650.511793,7.928204757137189,0.126131959331622,37236.98750448951,8135.86596,9741.449857,14554.847778,19650.538035,9485.0,176585.2253558678,0.05371344052643768,8.398451286562395,0.11906957198168308,17987.586231332585,2995.953857,3545.902025,5901.568193,7899.387559,8.398451286562395,0.11906957198168308,17987.586231332585,2995.953857,3545.902025,5901.568193,7899.387559,13911365.139,8386023.387863929,1.6588750705289261,3.1627180412649722,0.31618373403910405,9934970.275038041,2415356.683773,3008037.108603,5516601.141905,10693473.20029,3.1628009927287053,0.3161754414201225,9935230.848480158,2415390.087518,3008070.512348,5516634.54565,10693506.604035,180949.0,328182.48749892396,0.5513670195476025,2.324190029722676,0.43025741751388574,94965.1300586458,13790.231925,32314.645357,72176.279841,137361.337675,2.3244781814002713,0.43020408107147623,94976.90377817367,13791.657973,32316.071405,72177.705889,137362.763723
Nov 20,Nov 20,30851972.4,15165826.10352154,30,4.285714285714286,2020-11-16,0.4746720363837234,1.4357939731241278,1.4358784832983733,0.6964787558093111,0.6964377638021905,10335984.407212785,10336592.778510896,0.6815312490503069,0.681571363666811,16746102.0,6312667.733404113,2.6527773529701753,0.994214150400562,1.005819520469616,3884816.0335719357,546351.115685,915721.740702,3215063.787479,9676963.184718,0.9942792576523682,1.0057536575399744,3885070.4351971964,546377.61285,915748.237867,3215090.2846439998,9676989.681883,38352.0,136301.3327320436,0.2813765590641483,3.2202857113893875,0.3105314526792567,28817.692774081348,3014.142583,5202.54618,16740.993806,30994.317663,3.220360061512458,0.31052428327854276,28818.35811846269,3014.212459,5202.616056,16741.063682,30994.387539,8774.0,89940.4647375882,0.0975534207611576,16.397267171736853,0.06098577217328323,33569.57850512447,4122.096737,4576.256383,6323.377806,7830.285474,16.397267171736853,0.06098577217328323,33569.57850512447,4122.096737,4576.256383,6323.377806,7830.285474,13864279.3,8333648.104915902,1.6636506756052798,1.9502819857697282,0.512746365549454,6309159.305043032,784861.902687,1528265.036311,5260789.537675,11030124.991448,1.9503713237954998,0.5127228788690148,6309448.313422694,784892.849165,1528295.982789,5260820.484153,11030155.937926,194465.1,293268.4677318989,0.6630958367395187,1.7547660179208429,0.5698765475210552,79622.84146870166,9795.626776,25342.547262,59338.257321,143790.841572,1.7561497416754046,0.5694275244695127,79685.62819697241,9802.297611,25349.218097,59344.928156,143797.512407
Dec 20,Dec 20,23370496.555,16289718.47278677,31,4.428571428571429,2020-12-16,0.32395949066474744,1.87195109594208,1.872085596382025,0.5342019896608138,0.5341636097903806,9878676.982964514,9879386.769883182,0.6064363235907119,0.6064798962847308,11422537.2,6998713.153690852,1.6320910643374764,1.032653576037987,0.968378963869694,2663505.3938402752,209602.986609,738667.605739,2741698.630499,6570502.543913,1.032730551533383,0.9683067848774445,2663703.93539568,209622.508111,738687.127241,2741718.152001,6570522.065415,39537.0,157333.70103849523,0.2512939042241585,4.102849212870899,0.24373306161555644,36629.0466227399,3382.7170220000003,15030.437641,31034.764258,35800.094473,4.103018828799125,0.24372298586128616,36630.56090450377,3382.872859,15030.593478,31034.920095,35800.25031,1947.0,94968.43503328713,0.020501548744249205,9.8933651917753,0.10107784162575287,4349.570135442114,681.86556,1120.669157,1327.549733,1353.776669,9.8933651917753,0.10107784162575287,4349.570135442114,681.86556,1120.669157,1327.549733,1353.776669,11806889.1,8691962.752299413,1.3583685798557465,2.6757494499686687,0.37372706925594595,7133739.971166532,958785.229964,2234001.998007,6001036.827987,9927586.871971,2.675924123983278,0.3737026737930963,7134205.664619242,958831.264072,2234048.032115,6001082.862095,9927632.906079,99586.255,346740.4307247304,0.28720693110939616,1.7991016241688373,0.5558329705038133,40456.79199379819,3775.9147159999998,13354.79714,44786.029172,75383.239029,1.8008523349021073,0.5552926137357947,40496.16060923699,3779.811045,13358.693469,44789.925501,75387.135358
Jan 21,Jan 21,13413961.19,17876364.51199376,31,4.428571428571429,2021-01-16,0.1694393161626841,3.3663242506618123,3.3664603282026877,0.29705991625833494,0.2970479086363949,10196458.06320431,10196870.236493502,0.5703876790139975,0.5704107358994684,5633909.19,7565640.191096766,0.7446705166642708,2.608378678231617,0.3833799165533597,3318309.0401298106,259768.54967,1330742.254332,2631572.391718,4339656.595595,2.6084456329547128,0.38337007579002197,3318394.218123628,259776.378825,1330750.083487,2631580.220873,4339664.42475,41392.0,176548.46157612963,0.23445120750684828,4.032355419208857,0.24799401244154187,37688.735115588745,12069.527314,16406.149158,23955.656631,34026.688228,4.032563609611359,0.24798120917834093,37690.680983975275,12069.708394,16406.330238,23955.837711,34026.869308,15229.0,114651.43772145918,0.13282868756515911,20.282702598404363,0.04930309435581182,69748.28855153872,8127.2859880000005,8350.232799,9391.104147,11049.601543,20.282702598404363,0.04930309435581182,69748.28855153872,8127.2859880000005,8350.232799,9391.104147,11049.601543,7604515.0,9627069.729853177,0.789909620828723,3.8973598952763813,0.25658395089763325,6692345.886715925,1092688.157147,1950944.9368,5102058.186458,6618133.531917,3.897525579851041,0.2565730434636991,6692630.391742792,1092714.601243,1950971.380896,5102084.630554,6618159.976013,118916.0,392454.69174623577,0.3030056781099511,2.9184784439786795,0.3426442988000035,78366.9831777155,18457.864663,26331.762184,50343.486764,90965.046942,2.9199327115877742,0.34247364537939273,78406.03317155491,18461.455892,26335.353413,50347.077993,90968.638171
Feb 21,Feb 21,7088759.85,18102994.93842233,28,4.0,2021-02-16,0.09789484936211586,2.893633860598435,2.8937657370870866,0.3455862241649291,0.3455704748949778,5128068.882902671,5128302.593092149,0.2832718508924016,0.28328476092139254,3517158.1,7506609.267054907,0.46854151786428316,2.7614172404156117,0.3621328879113876,2428085.253651854,320388.497197,903597.053645,1761067.889136,2953803.413835,2.7615035851963863,0.3621215649911547,2428161.1757131275,320394.286157,903602.842605,1761073.678096,2953809.202795,18765.0,197206.9364225198,0.09515385381676238,3.3140585243334364,0.3017448221440604,15547.077052279234,1538.241179,4254.934488,11789.744672,15339.948131,3.314487907119875,0.3017057319327951,15549.091394276113,1538.393779,4255.087088,11789.897272,15340.100731,80115.4,380436.8400352073,0.2105879125496515,1.3264253355312043,0.75390598566901,26566.774081554162,1881.3655979999999,2912.387766,20369.687265,44710.607963,1.3264253355312043,0.75390598566901,26566.774081554162,1881.3655979999999,2912.387766,20369.687265,44710.607963,3048918.35,9583328.012495266,0.31814817838068926,2.971390264672073,0.3365428001462344,2264881.57574251,253857.220905,673047.651245,1633345.129399,2523682.392286,2.9715538483248154,0.33652427350887154,2265006.264042662,253866.820653,673057.250993,1633354.729147,2523691.992034,423803.0,435413.8824144385,0.9733336880531821,3.709166996215474,0.2696023126001922,392989.0251242766,94464.008572,109237.161701,180466.904041,301068.186557,3.7094557077199615,0.2695813291202918,393019.61432471074,94466.387726,109239.540855,180469.283195,301070.565711
Mar 21,Mar 21,4226802.6,18442490.662719566,31,4.428571428571429,2021-03-16,0.05175219086343568,3.470822601987172,3.4710194657275055,0.28811613691447774,0.28809979600342167,3312689.4834686127,3312877.377958497,0.17962267375116658,0.17963286188103042,2670323.25,7511987.665424722,0.35547492473804826,3.37628217470928,0.2961837750087066,2035817.8557357183,366116.133253,900116.196731,1299563.382978,2254632.236862,3.3763896718451987,0.2961743451411221,2035882.6739521525,366121.23768,900121.301158,1299568.487405,2254637.341289,32088.0,215101.30571591452,0.1491762213771905,3.478265400539339,0.28749962548715813,25202.3890712111,5246.622078,10615.014871,14614.632284,25185.556313,3.479078023007964,0.28743247302496927,25208.277071482476,5247.084763,10615.477556,14615.094969,25186.018998,78373.0,568424.242062857,0.13787765228938534,4.06125017207436,0.24622959867779606,71872.46832748021,5890.89138,19464.481963,42164.904809,56905.695843,4.061442029893514,0.24621796707663923,71875.86366006163,5891.1636069999995,19464.75419,42165.177036,56905.96807,1199474.35,9659764.072165005,0.12417222005000446,3.9826989966316018,0.2510860099760885,1078710.2268262063,203109.816098,427434.580968,802877.881242,1031895.261572,3.9830791430486427,0.2510620462425965,1078813.1891208966,203118.042582,427442.807452,802886.107726,1031903.488056,246544.0,487213.3773510743,0.5060287985942272,1.8157925320560333,0.5507237100858068,101087.39606975997,11961.691835,30838.05759,71578.547043,148467.663412,1.815976557915251,0.5506679013235746,101097.64101492269,11962.476054,30838.841809,71579.331262,148468.447631
Apr 21,Apr 21,4081096.1,18657475.80035488,30,4.285714285714286,2021-04-16,0.051038831128943724,3.96784598401484,3.9680681156530375,0.2520259112951144,0.25201180293635833,3778404.1798448456,3778615.705976058,0.2025142211237909,0.2025255584629613,2574382.0,7468507.73495967,0.34469831074144314,2.6629795724556478,0.37551921552212925,1599622.8914627538,246789.727667,487671.916658,975144.709677,2010201.110521,2.663165486865895,0.37549300069100644,1599734.5682287193,246797.576047,487679.765038,975152.558057,2010208.958901,39576.0,230083.7456625991,0.17200693550093404,3.564789229553111,0.2805214938683379,32918.689661385244,4851.073851,8559.514619,18205.8282,26753.340568,3.5652153510293347,0.28048796539353055,32922.6246375453,4851.353469,8559.794237,18206.107818,26753.620186,149498.1,733902.8481681434,0.20370284755421567,2.100532247440518,0.47606981574241103,73272.63532892038,14271.686332,27450.071344,61084.250706,104053.977638,2.1007657597205878,0.4760168978253934,73280.7809120997,14272.251743,27450.636755,61084.816117,104054.543049,1191774.0,9654188.80522146,0.12344631165235032,7.268348777769687,0.13758283078799263,2021186.7891314614,497731.836217,694298.861713,918012.99774,1133362.282662,7.268612253603098,0.13757784362541745,2021260.0566493014,497737.418717,694304.444213,918018.58024,1133367.865162,125866.0,570792.6663430099,0.2205108919958733,1.7503329846422166,0.5713198624342949,51405.06267049469,6571.047494,19345.953606,36399.951837,77572.431582,1.7507872526984232,0.5711716249125857,51418.40394789927,6571.969179,19346.875291,36400.873522,77573.353267
May 21,May 21,4113792.75,18713094.17794807,31,4.428571428571429,2021-05-16,0.04964015756640869,8.394028416653944,8.394257384805405,0.11913231053828424,0.11912906099473645,7797388.796970155,7797601.490281453,0.41668089321961377,0.41669225923473,1036259.1,7349700.26285752,0.1409933824426615,3.4872321215313145,0.28676037761457635,815991.3592981907,114464.569248,227938.123899,561126.116253,924275.973951,3.487396367853894,0.2867468720268781,816029.7919506069,114467.197581,227940.752232,561128.744586,924278.602284,49969.0,242216.26910301126,0.2062991069305459,4.437791257606144,0.22533732254441932,50073.030305137094,8374.62027,13028.304034,27098.644973,35124.474712,4.437902579561965,0.22533167010139804,50074.28638667492,8374.70827,13028.392034,27098.732973,35124.562712,281847.55,923693.7940655448,0.3051309338774233,3.405092267933656,0.29367779822507994,216710.27073184872,49052.019842,74857.664883,134121.362936,218418.079979,3.4057884490963937,0.2936177672060973,216754.5777862202,49054.997862,74860.642903,134124.340956,218421.057999,2636696.1,9511689.381466085,0.27720586682926274,11.21183343526124,0.08919147842983448,6675334.91768453,1621374.816864,1836935.934678,2301819.9425,2499383.429088,11.212029617746973,0.08918991780196057,6675451.721399534,1621383.842766,1836944.96058,2301828.968402,2499392.45499,109021.0,685794.4704559131,0.15897036896130604,1.5952953637367926,0.62684316818775,39272.41519192393,6674.603621,12656.766485,29822.647169,52934.115738,1.5958606447437977,0.6266211296667084,39286.3310791708,6675.528073,12657.690937,29823.571621,52935.04019
Jun 21,Jun 21,1065876.5,19007594.12644552,15,2.142857142857143,2021-06-16,0.02616896331142096,4.7878120680526335,4.788364064869767,0.20886367004098683,0.2088395924897573,2381500.972551728,2381775.5407549413,0.12529207835084788,0.12530652353530344,589029.0,7363866.082073705,0.07998909722623937,2.775207749848524,0.36033338406992477,762849.6613199124,44222.273542,128017.269556,315602.110066,504335.261419,2.7754341652422676,0.3603039886599904,762911.8984286276,44224.212303,128019.208317,315604.048827,504337.20018,29393.0,248760.89295134178,0.1181576398576015,3.6513095513626688,0.27387434177603487,50084.03943349469,4106.575421,6993.706018,12950.436358,15025.717164,3.6517783639160823,0.27383918199450175,50090.470010273195,4106.77726,6993.907857,12950.638197,15025.919003,128433.0,1087369.606214196,0.11811347242558531,3.0953310045553137,0.3230672256144262,185519.90189042457,18102.55005,27764.563647,60133.795403,106629.51813,3.097089771098585,0.3228837631158766,185625.31426670213,18105.857006,27767.870603,60137.102359,106632.825086,293476.0,9540304.50838082,0.030761701551789228,9.551529986531984,0.10469526886373572,1308134.2466861482,151698.166796,214531.108866,266420.820289,289868.580283,9.55221057693052,0.1046878093763022,1308227.4572617887,151701.396662,214534.338732,266424.050155,289871.810149,25545.5,767293.0368254661,0.03329301684489385,6.284199392476596,0.15912926015638423,74915.40727090508,8148.481231,11288.457334,16442.762872,21746.717671,6.284579701615343,0.1591196305049592,74919.94102488687,8148.631385,11288.607488,16442.913026,21746.867825
